,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
644,644,6759,4600,2006.0,chrysler,town & country touring,excellent,6 cylinders,132000.0,automatic,mini-van,va,14.0,3,6,8,0,377,9,130000-140000
645,645,6763,4700,2004.0,bmw,x3,excellent,6 cylinders,96000.0,automatic,SUV,va,16.0,3,6,21,0,373,6,90000-100000
646,646,6771,3300,2005.0,ford,f250 stakebed,good,8 cylinders,37109.0,automatic,truck,va,15.0,2,8,13,0,378,5,30000-40000
647,647,6773,5450,2001.0,nissan,xterra 4x4,excellent,6 cylinders,80765.0,automatic,SUV,va,19.0,3,6,5,0,379,6,80000-90000
648,648,6775,17995,2011.0,ford,f-150 supercrew,good,8 cylinders,132000.0,automatic,pickup,va,9.0,2,8,13,0,380,3,130000-140000
649,649,6777,6695,2008.0,jeep,grand cherokee,excellent,6 cylinders,120835.0,automatic,SUV,va,12.0,3,6,10,0,199,6,120000-130000
650,650,6778,5995,2007.0,ford,mustang,excellent,8 cylinders,149415.0,automatic,coupe,va,13.0,3,8,13,0,15,8,140000-150000
651,651,6780,14350,2011.0,lexus,rx 350 awd,excellent,6 cylinders,106103.0,automatic,SUV,va,9.0,3,6,16,0,381,6,100000-110000
652,652,6782,6750,2015.0,volkswagen,jetta,like new,4 cylinders,106789.0,automatic,sedan,va,5.0,4,4,3,0,53,0,100000-110000
653,653,6783,11350,2014.0,mitsubishi,outlander se,excellent,4 cylinders,99804.0,automatic,SUV,va,6.0,3,4,32,0,382,6,90000-100000
654,654,6784,15900,2005.0,gmc,sierra 2500hd,excellent,8 cylinders,136000.0,automatic,pickup,va,15.0,3,8,22,0,174,3,130000-140000
655,655,6790,4900,2008.0,bmw,528i sedan,good,6 cylinders,138260.0,automatic,sedan,va,12.0,2,6,21,0,383,0,130000-140000
656,656,6791,4400,2004.0,mazda,tribute lx,excellent,6 cylinders,134000.0,automatic,SUV,va,16.0,3,6,12,0,384,6,130000-140000
657,657,6792,3850,2007.0,jeep,liberty,good,6 cylinders,150000.0,automatic,SUV,va,13.0,2,6,10,0,69,6,150000-160000
658,658,6797,10995,2012.0,jeep,grand cherokee,excellent,6 cylinders,129600.0,automatic,SUV,va,8.0,3,6,10,0,199,6,120000-130000
659,659,6798,7499,2013.0,nissan,altima,excellent,4 cylinders,93176.0,automatic,sedan,va,7.0,3,4,5,0,219,0,90000-100000
660,660,6799,11995,2015.0,kia,optima,excellent,4 cylinders,68470.0,automatic,sedan,va,5.0,3,4,27,0,385,0,60000-70000
661,661,6800,12995,2016.0,kia,optima,excellent,4 cylinders,38163.0,automatic,sedan,va,4.0,3,4,27,0,385,0,30000-40000
662,662,6801,6995,2009.0,jeep,patriot,excellent,4 cylinders,96051.0,automatic,SUV,va,11.0,3,4,10,0,386,6,90000-100000
663,663,6803,10995,2013.0,honda,cr-v,excellent,4 cylinders,125619.0,automatic,SUV,va,7.0,3,4,14,0,71,6,120000-130000
664,664,6804,6995,2008.0,ford,edge,excellent,6 cylinders,125120.0,automatic,SUV,va,12.0,3,6,13,0,387,6,120000-130000
665,665,6808,5250,2009.0,pontiac,g6 gt,excellent,6 cylinders,70760.0,automatic,coupe,va,11.0,3,6,24,0,388,8,70000-80000
666,666,6809,4999,2010.0,nissan,rogue 360,like new,4 cylinders,130890.0,automatic,SUV,va,10.0,4,4,5,0,211,6,130000-140000
667,667,6810,7890,2009.0,bmw,535i,like new,6 cylinders,99775.0,automatic,sedan,va,11.0,4,6,21,0,389,0,90000-100000
668,668,6811,25500,2015.0,toyota,tacoma,excellent,6 cylinders,41500.0,automatic,truck,va,5.0,3,6,1,0,159,5,40000-50000
669,669,6814,9350,2011.0,volkswagen,tiguan se,excellent,4 cylinders,71888.0,automatic,SUV,va,9.0,3,4,3,0,390,6,70000-80000
670,670,6815,12550,2016.0,nissan,rogue sv,excellent,4 cylinders,90317.0,automatic,SUV,va,4.0,3,4,5,0,391,6,90000-100000
671,671,6816,9150,2010.0,lexus,hs 250h premium,excellent,4 cylinders,141155.0,automatic,sedan,va,10.0,3,4,16,0,392,0,140000-150000
672,672,6820,26500,2016.0,jeep,wrangler unlimited,excellent,6 cylinders,32564.0,automatic,SUV,va,4.0,3,6,10,0,393,6,30000-40000
673,673,6821,3999,2001.0,honda,civic,good,4 cylinders,199153.0,other,coupe,va,19.0,2,4,14,1,24,8,190000-200000
674,674,6822,6495,2003.0,ford,explorer sport trac,good,6 cylinders,181902.0,automatic,truck,va,17.0,2,6,13,0,28,5,180000-190000
675,675,6823,3999,2004.0,ford,expedition,good,8 cylinders,157622.0,automatic,SUV,va,16.0,2,8,13,0,26,6,150000-160000
676,676,6824,4999,2008.0,chevrolet,cobalt,good,4 cylinders,117135.0,automatic,sedan,va,12.0,2,4,9,0,25,0,110000-120000
677,677,6825,3999,2005.0,hyundai,sonata,good,4 cylinders,145868.0,automatic,sedan,va,15.0,2,4,4,0,27,0,140000-150000
678,678,6828,7700,2010.0,jeep,liberty reneged 4x4,excellent,6 cylinders,111888.0,automatic,SUV,va,10.0,3,6,10,0,394,6,110000-120000
679,679,6829,6800,2011.0,bmw,328 xi awd,excellent,6 cylinders,125177.0,automatic,sedan,va,9.0,3,6,21,0,395,0,120000-130000
680,680,6835,3750,2003.0,chevrolet,silverado 1500,fair,8 cylinders,190000.0,automatic,truck,va,17.0,1,8,9,0,92,5,190000-200000
681,681,6839,3700,2010.0,dodge,avenger,good,6 cylinders,155100.0,automatic,sedan,va,10.0,2,6,11,0,332,0,150000-160000
682,682,6845,5990,2013.0,chrysler,200 touring,excellent,4 cylinders,81259.0,automatic,sedan,va,7.0,3,4,8,0,396,0,80000-90000
683,683,6865,3850,2007.0,bmw,328i sedan,good,6 cylinders,188428.0,manual,sedan,va,13.0,2,6,21,2,397,0,180000-190000
684,684,6867,5000,2010.0,acura,tsx 2.4,fair,4 cylinders,108000.0,automatic,sedan,va,10.0,1,4,17,0,398,0,100000-110000
685,685,6873,4990,2003.0,jeep,liberty sport,excellent,6 cylinders,92000.0,automatic,SUV,va,17.0,3,6,10,0,399,6,90000-100000
686,686,6883,9500,2003.0,ford,f150,excellent,8 cylinders,165919.0,automatic,pickup,va,17.0,3,8,13,0,400,3,160000-170000
687,687,6892,17995,2011.0,ford,f-150 supercrew,good,8 cylinders,132000.0,automatic,pickup,va,9.0,2,8,13,0,380,3,130000-140000
688,688,6898,3450,2004.0,ford,escape limited 4x4,excellent,6 cylinders,157982.0,automatic,SUV,va,16.0,3,6,13,0,401,6,150000-160000
689,689,6899,5990,2003.0,gmc,envoy sle xl 4x4,excellent,6 cylinders,101200.0,automatic,SUV,va,17.0,3,6,22,0,402,6,100000-110000
